genres,keywords,title,cast,director
Comedy Family Animation Fantasy Music,chipmunk cgi based on tv series aftercreditsstinger duringcreditsstinger,Alvin and the Chipmunks: The Squeakquel,Zachary Levi David Cross Jason Lee Justin Long Matthew Gray Gubler,Betty Thomas
Action History War,vietnam veteran missile vietnam war army major,We Were Soldiers,Mel Gibson Greg Kinnear Madeleine Stowe Sam Elliott Chris Klein,Randall Wallace
Action Thriller,white house secret service terrorist attack,Olympus Has Fallen,Gerard Butler Aaron Eckhart Angela Bassett Morgan Freeman Radha Mitchell,Antoine Fuqua
Science Fiction Action Adventure Thriller,space opera retribution spacecraft officer exploding ship,Star Trek: Insurrection,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,Jonathan Frakes
Action Science Fiction,saving the world hero marine corps chaos retirement,Battle: Los Angeles,Aaron Eckhart Ram\u00f3n Rodr\u00edguez Will Rothhaar Cory Hardrict Jim Parrack,Jonathan Liebesman
Adventure Fantasy Drama,circus father son relationship witch fish fishing,Big Fish,Ewan McGregor Albert Finney Billy Crudup Jessica Lange Helena Bonham Carter,Tim Burton
Fantasy,adultery heal bite werewolf,Wolf,Jack Nicholson Christopher Plummer James Spader Michelle Pfeiffer Kate Nelligan,Mike Nichols
Drama War,world war i horse farm life execution trapped,War Horse,Tom Hiddleston Benedict Cumberbatch Toby Kebbell Emily Watson Jeremy Irvine,Steven Spielberg
War Drama History Action,world war ii nazis art theft post world war ii,The Monuments Men,Matt Damon Cate Blanchett George Clooney Bill Murray John Goodman,George Clooney
Adventure Action Thriller Science Fiction,ocean sea diving suit flying saucer nuclear missile,The Abyss,Ed Harris Mary Elizabeth Mastrantonio Michael Biehn Leo Burmester Todd Graff,James Cameron
Drama Crime,duringcreditsstinger,Wall Street: Money Never Sleeps,Michael Douglas Shia LaBeouf Josh Brolin Carey Mulligan Frank Langella,Oliver Stone
Horror Action Drama Fantasy War,vampire dracula bite battle 15th century,Dracula Untold,Luke Evans Sarah Gadon Dominic Cooper Art Parkinson Charles Dance,Gary Shore
Drama Action Thriller Crime,islam muslim car bomb fbi agent,The Siege,Denzel Washington Annette Bening Bruce Willis Tony Shalhoub Sami Bouajila,Edward Zwick
Adventure Fantasy Romance Family,witch based on novel new love prince beauty,Stardust,Claire Danes Charlie Cox Michelle Pfeiffer Robert De Niro Sienna Miller,Matthew Vaughn
Adventure Drama History,buddhism himalaya austria mountains buddhist monk,Seven Years in Tibet,Brad Pitt Jamyang Jamtsho Wangchuk David Thewlis BD Wong Mako,Jean-Jacques Annaud
Comedy Drama,adultery infidelity secret investigation friendship,The Dilemma,Kevin James Vince Vaughn Winona Ryder Jennifer Connelly Queen Latifah,Ron Howard
Action Adventure Comedy Thriller,ambush cia assassin nightclub hustler,Bad Company,Anthony Hopkins Chris Rock Peter Stormare Gabriel Macht Kerry Washington,Joel Schumacher
Adventure Action Horror,teleportation based on video game severed ear future war wisecrack humor,Doom,Dwayne Johnson Karl Urban Rosamund Pike Ben Daniels Deobia Oparei,Andrzej Bartkowiak
Action Adventure Comedy Thriller,budapest kidnapping boxer secret agent liberation of hostage,I Spy,Eddie Murphy Owen Wilson Famke Janssen Keith Dallas Malcolm McDowell,Betty Thomas
Fantasy Action Horror,vampire daughter hybrid child vampire werewolf,Underworld: Awakening,Kate Beckinsale Stephen Rea Michael Ealy Theo James India Eisley,M\u00e5ns M\u00e5rlind
Comedy Drama Music Romance,musical rocker teenager young love rock sta,Rock of Ages,Julianne Hough Diego Boneta Tom Cruise Alec Baldwin Russell Brand,Adam Shankman
Drama War,black people world war ii prisoners of war u.s. army war,Hart's War,Bruce Willis Colin Farrell Terrence Howard Marcel Iure\u0219 Cole Hauser,Gregory Hoblit
Action Adventure Thriller,rescue,Killer Elite,Jason Statham Clive Owen Robert De Niro Dominic Purcell Yvonne Strahovski,Gary McKendry
Action Science Fiction Thriller,manager arena dystopia wrestling sport,Rollerball,Chris Klein LL Cool J Rebecca Romijn Naveen Andrews Jean Reno,John McTiernan
Action Adventure Thriller,loss of family enemy adversary agent,Ballistic: Ecks vs. Sever,Antonio Banderas Lucy Liu Gregg Henry Ray Park Talisa Soto,Wych Kaosayananda
Thriller,sheriff rain evacuation armored car crook,Hard Rain,Morgan Freeman Christian Slater Randy Quaid Minnie Driver Ed Asner,Mikael Salomon
Adventure Animation Action Comedy Family,cold flu lethal virus construction worker,Osmosis Jones,Chris Rock Laurence Fishburne David Hyde Pierce Brandy Norwood Bill Murray,Bobby Farrelly
Animation Music Family,,Legends of Oz: Dorothy's Return,Lea Michele Dan Aykroyd Patrick Stewart Hugh Dancy Jim Belushi,Dan St. Pierre
Crime Drama Mystery,terrorist technology anti hero hacker computer virus,Blackhat,Chris Hemsworth Leehom Wang Tang Wei Viola Davis Holt McCallany,Michael Mann
Mystery Action Thriller Science Fiction Adventure,london england himalaya journalist killer robot computer war,Sky Captain and the World of Tomorrow,Jude Law Gwyneth Paltrow Giovanni Ribisi Angelina Jolie Bai Ling,Kerry Conran
Crime Mystery Thriller,male nudity sex legs soho london playing god,Basic Instinct 2,Sharon Stone David Morrissey Charlotte Rampling David Thewlis Stan Collymore,Michael Caton-Jones
Action Thriller,prison muslim ship mystery science fiction,Escape Plan,Sylvester Stallone Arnold Schwarzenegger Jim Caviezel Vinnie Jones 50 Cent,Mikael H\u00e5fstr\u00f6m
Action Adventure,mythology zeus ancient greece demigod city of argos,The Legend of Hercules,Kellan Lutz Liam McIntyre Gaia Weiss Scott Adkins Roxanne McKee,Renny Harlin
Thriller Action Drama,cia terrorist atomic bomb cold war nuclear explosion,The Sum of All Fears,Ben Affleck Morgan Freeman James Cromwell Ken Jenkins Liev Schreiber,Phil Alden Robinson
Adventure Fantasy Drama Romance,vampire graduation bite immortality werewolf,The Twilight Saga: Eclipse,Kristen Stewart Robert Pattinson Taylor Lautner Ashley Greene Peter Facinelli,David Slade
Action Crime Thriller,quebec jewel scepter customs house jewelry heist,The Score,Robert De Niro Edward Norton Marlon Brando Angela Bassett Paul Soles,Frank Oz
Animation Family,adoptive father orphanage life's dream rivalry stealing,Despicable Me,Steve Carell Jason Segel Russell Brand Julie Andrews Will Arnett,Pierre Coffin
Action Comedy Crime,brother brother relationship subway new york city new york subway train robbery,Money Train,Wesley Snipes Woody Harrelson Jennifer Lopez Robert Blake Chris Cooper,Joseph Ruben
Comedy,sperm bank sequel buddy courthouse teddy bear,Ted 2,Mark Wahlberg Seth MacFarlane Amanda Seyfried Jessica Barth Giovanni Ribisi,Seth MacFarlane
Adventure Drama History,christianity philosophy egypt new love war,Agora,Rachel Weisz Max Minghella Oscar Isaac Ashraf Barhom Michael Lonsdale,Alejandro Amen\u00e1bar
Adventure Fantasy Action Comedy Science Fiction,bowling hostage sphinx training insane asylum,Mystery Men,Ben Stiller Geoffrey Rush Claire Forlani William H. Macy Hank Azaria,Kinka Usher
Comedy,wife husband relationship daydream marriage freedom friends,Hall Pass,Owen Wilson Jason Sudeikis Jenna Fischer Christina Applegate Nicky Whelan,Bobby Farrelly
Drama Thriller,spy newspaper research interview tobacco,The Insider,Al Pacino Russell Crowe Christopher Plummer Diane Venora Bruce McGill,Michael Mann
Action Drama History Thriller,coast guard based on true story survival rescue mission storm at sea,The Finest Hours,Chris Pine Casey Affleck Ben Foster Eric Bana Holliday Grainger,Craig Gillespie
Action Drama Thriller,terror falsely accused based on novel dying and death jordan,Body of Lies,Leonardo DiCaprio Russell Crowe Mark Strong Ali Suliman Simon McBurney,Ridley Scott
Comedy,mouse idiot mind control taxidermy aftercreditsstinger,Dinner for Schmucks,Steve Carell Paul Rudd Stephanie Szostak Jemaine Clement Zach Galifianakis,Jay Roach
Action Fantasy Horror,usa president vampire steam locomotive american civil war 19th century,Abraham Lincoln: Vampire Hunter,Benjamin Walker Dominic Cooper Anthony Mackie Mary Elizabeth Winstead Rufus Sewell,Timur Bekmambetov
Romance Drama Mystery,london england new year's eve skyscraper burglar distrust,Entrapment,Sean Connery Catherine Zeta-Jones Will Patton Maury Chaykin Ving Rhames,Jon Amiel
Mystery Science Fiction Thriller,bomb helicopter secret obsession extraterrestrial technology,The X Files,David Duchovny Gillian Anderson Mitch Pileggi William B. Davis John Neville,Rob Bowman
Action Adventure Fantasy War,roman empire emperor ancient rome western roman empire ancient world,The Last Legion,Colin Firth Ben Kingsley Aishwarya Rai Bachchan Peter Mullan Kevin McKidd,Doug Lefler
Drama History War,war crimes self sacrifice war veteran world war ii war ship,Saving Private Ryan,Tom Hanks Matt Damon Vin Diesel Tom Sizemore Barry Pepper,Steven Spielberg
Action Crime Drama Thriller,street race super cars super speed car based on video game,Need for Speed,Aaron Paul Dominic Cooper Imogen Poots Rami Malek Ram\u00f3n Rodr\u00edguez,Scott Waugh
Comedy Romance,women telepathy supernatural powers advertising executive woman director,What Women Want,Helen Hunt Mel Gibson Marisa Tomei Lauren Holly Mark Feuerstein,Nancy Meyers
Animation Comedy Family Adventure,human evolution parents kids relationship squirrel ice loss of child,Ice Age,Ray Romano John Leguizamo Denis Leary Goran Visnjic Jack Black,Chris Wedge
Drama Horror Science Fiction Thriller,religion and supernatural,Dreamcatcher,Morgan Freeman Thomas Jane Jason Lee Damian Lewis Timothy Olyphant,Lawrence Kasdan
History Drama,usa president speech battlefield family conflict mourning,Lincoln,Daniel Day-Lewis Sally Field David Strathairn Joseph Gordon-Levitt James Spader,Steven Spielberg
Action Science Fiction,saving the world artificial intelligence man vs machine philosophy prophecy,The Matrix,Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving Gloria Foster,Lilly Wachowski
Drama,moon florida nasa spaceman race against time,Apollo 13,Tom Hanks Bill Paxton Kevin Bacon Gary Sinise Ed Harris,Ron Howard
Fantasy Comedy Family,holiday christmas party home santa claus magic,The Santa Clause 2,Tim Allen Elizabeth Mitchell David Krumholtz Eric Lloyd Spencer Breslin,Michael Lembeck
Drama Music Romance,france robbery brothel mayor star,Les Misérables,Hugh Jackman Russell Crowe Anne Hathaway Amanda Seyfried Sacha Baron Cohen,Tom Hooper
Comedy Romance,romantic comedy online dating woman director,You've Got Mail,Tom Hanks Meg Ryan Katie Sagona Greg Kinnear Parker Posey,Nora Ephron
Comedy,becoming an adult autonomy childhood trauma hostility step brother,Step Brothers,Will Ferrell John C. Reilly Mary Steenburgen Richard Jenkins Adam Scott,Adam McKay
Action Adventure,california spy hero horseback riding sword fight,The Mask of Zorro,Antonio Banderas Anthony Hopkins Catherine Zeta-Jones Stuart Wilson Diego Sieres,Martin Campbell
Comedy Drama,highway slacker hitchhiker wallet sunglasses,Due Date,Robert Downey Jr. Zach Galifianakis Michelle Monaghan Jamie Foxx Juliette Lewis,Todd Phillips
Drama War,world war ii prisoners of war biography sport war,Unbroken,Jack O'Connell Domhnall Gleeson Garrett Hedlund Miyavi Finn Wittrock,Angelina Jolie
Action Adventure Thriller,nasa space travel astronaut elderly,Space Cowboys,Clint Eastwood Tommy Lee Jones Donald Sutherland James Garner James Cromwell,Clint Eastwood
Action Adventure Thriller,rocky mountains airplane hijacking suitcase climbing,Cliffhanger,Sylvester Stallone John Lithgow Michael Rooker Janine Turner Rex Linn,Renny Harlin
Action Adventure Drama Thriller,helicopter river captain underground mexican standoff,Broken Arrow,John Travolta Christian Slater Samantha Mathis Delroy Lindo Bob Gunton,John Woo
Fantasy Comedy Family,age difference midlife crisis suppressed past self-awareness childhood memory,The Kid,Bruce Willis Spencer Breslin Emily Mortimer Lily Tomlin Chi McBride,Jon Turteltaub
Drama History Thriller,terror runaway alarm clock hero firemen,World Trade Center,Nicolas Cage Maria Bello Maggie Gyllenhaal Michael Pe\u00f1a Jay Hernandez,Oliver Stone
Drama Romance,faculty art history rowing school nurse femininity,Mona Lisa Smile,Julia Roberts Kirsten Dunst Julia Stiles Maggie Gyllenhaal Ginnifer Goodwin,Mike Newell
Comedy,kurdish,The Dictator,Sacha Baron Cohen Sayed Badreya Aasif Mandvi Megan Fox Anna Faris,Larry Charles
Mystery Drama,life and death sexual obsession free love heterosexual christmas party,Eyes Wide Shut,Tom Cruise Nicole Kidman Madison Eginton Jackie Sawiris Sydney Pollack,Stanley Kubrick
Comedy Drama Family,musical orphan foster child,Annie,Quvenzhan\u00e9 Wallis Jamie Foxx Rose Byrne Cameron Diaz Bobby Cannavale,Will Gluck
Romance Comedy Crime Drama,seduction con man femme fatale deception rivalry,Focus,Will Smith Margot Robbie Rodrigo Santoro Robert Taylor Gerald McRaney,Glenn Ficarra
Action Comedy Romance,love triangle friendship dating sushi bar exploding airplane,This Means War,Reese Witherspoon Chris Pine Tom Hardy Laura Vandervoort Angela Bassett,McG
Science Fiction Action Horror Thriller Adventure,fbi dracula fistfight vampire hunter superhero,Blade: Trinity,Wesley Snipes Kris Kristofferson Dominic Purcell Jessica Biel Ryan Reynolds,David S. Goyer
Action Thriller,guerrilla colorado invasion anti-communism near future,Red Dawn,Patrick Swayze C. Thomas Howell Lea Thompson Darren Dalton Charlie Sheen,John Milius
Comedy Drama,white house usa president presidential election scandal george w. bush,Primary Colors,John Travolta Emma Thompson Billy Bob Thornton Kathy Bates Adrian Lester,Mike Nichols
Action Horror Science Fiction,mutant dystopia sequel conspiracy tokyo japan,Resident Evil: Retribution,Milla Jovovich Sienna Guillory Michelle Rodriguez Aryana Engineer Li Bingbing,Paul W.S. Anderson
Action Thriller Science Fiction,car race dystopia matter of life and death prison guard car set on fire,Death Race,Jason Statham Joan Allen Ian McShane Tyrese Gibson Natalie Martinez,Paul W.S. Anderson
Crime Action Mystery Thriller,assassination amnesia hostage chase dark comedy,The Long Kiss Goodnight,Geena Davis Samuel L. Jackson Yvonne Zima Craig Bierko Tom Amandes,Renny Harlin
Action Adventure Drama Romance Thriller,hostage new love suspense agent,Proof of Life,Meg Ryan Russell Crowe David Morse Pamela Reed David Caruso,Taylor Hackford
Family Fantasy Science Fiction Adventure,adventure house alien giant robot outer space,Zathura: A Space Adventure,Jonah Bobo Josh Hutcherson Dax Shepard Kristen Stewart Tim Robbins,Jon Favreau
Drama,support group dual identity nihilism rage and hate insomnia,Fight Club,Edward Norton Brad Pitt Meat Loaf Jared Leto Helena Bonham Carter,David Fincher
Drama,american football 1970s trainer college sport,We Are Marshall,Matthew McConaughey Matthew Fox Anthony Mackie David Strathairn Ian McShane,McG
Action Adventure Comedy,vatican leonardo da vinci painting master thief,Hudson Hawk,Bruce Willis Danny Aiello Andie MacDowell James Coburn Richard E. Grant,Michael Lehmann
Action Adventure Comedy Crime Romance,weather forecast tv station weather lottery wettermann,Lucky Numbers,John Travolta Lisa Kudrow Tim Roth Ed O'Neill Michael Rapaport,Nora Ephron
Horror Thriller,soul queen anti hero fantasy prince,"I, Frankenstein",Aaron Eckhart Yvonne Strahovski Bill Nighy Jai Courtney Miranda Otto,Stuart Beattie
Crime Drama Family,london england child abuse street gang runaway child labour,Oliver Twist,Barney Clark Ben Kingsley Jamie Foreman Harry Eden Edward Hardwicke,Roman Polanski
Action Fantasy,martial arts based on comic book female assassin spin off,Elektra,Jennifer Garner Goran Visnjic Will Yun Lee Cary-Hiroyuki Tagawa Terence Stamp,Rob Bowman
Crime Thriller,detective dystopia dominatrix murder suspense,Sin City: A Dame to Kill For,Mickey Rourke Jessica Alba Josh Brolin Joseph Gordon-Levitt Rosario Dawson,Robert Rodriguez
Drama Romance,infidelity politician airplane crash death death of husband,Random Hearts,Harrison Ford Kristin Scott Thomas Charles S. Dutton Bonnie Hunt Dennis Haysbert,Sydney Pollack
Adventure Drama,mountains snow storm hiking climbing snow,Everest,Jason Clarke Jake Gyllenhaal Josh Brolin John Hawkes Sam Worthington,Baltasar Korm\u00e1kur
Crime Fantasy Drama,paris female nudity prostitute small town obsession,Perfume: The Story of a Murderer,Ben Whishaw Simon Chandler David Calder Richard Felix Birgit Minichmayr,Tom Tykwer
Comedy Crime Science Fiction,saving the world submarine brother brother relationship clone spy,Austin Powers in Goldmember,Mike Myers Beyonc\u00e9 Knowles Seth Green Michael York Mindy Sterling,Jay Roach
Animation Action Family Science Fiction,superhero,Astro Boy,Nicolas Cage Kristen Bell Bill Nighy Donald Sutherland Freddie Highmore,David Bowers
Adventure Science Fiction,exotic island dna paleontology tyrannosaurus rex triceratops,Jurassic Park,Sam Neill Laura Dern Jeff Goldblum Richard Attenborough Bob Peck,Steven Spielberg
Drama Action Western,gunslinger gambling sheriff deputy sheriff wretch,Wyatt Earp,Kevin Costner Dennis Quaid Gene Hackman David Andrews Linden Ashby,Lawrence Kasdan
Action Drama Thriller,assassination spy ambush cia helicopter,Clear and Present Danger,Harrison Ford Willem Dafoe Anne Archer Joaquim de Almeida Henry Czerny,Phillip Noyce
Action Drama Adventure,,Dragon Blade,Jackie Chan John Cusack Adrien Brody Sharni Vinson Benny Urquidez,Daniel Lee
Comedy Crime,baby adoption married couple small person criminal,Little Man,Marlon Wayans Shawn Wayans Kerry Washington John Witherspoon Tracy Morgan,Keenen Ivory Wayans
Action Drama Thriller War,submarine world war ii north atlantic mission,U-571,Matthew McConaughey Bill Paxton Harvey Keitel Jon Bon Jovi David Keith,Jonathan Mostow
Comedy Drama Romance,white house usa president new love widower wildlife conservation,The American President,Michael Douglas Annette Bening Michael J. Fox Martin Sheen Anna Deavere Smith,Rob Reiner
Comedy Romance,sport ice hockey guru comedy bollywood,The Love Guru,Mike Myers Jessica Alba Justin Timberlake Romany Malco Meagan Good,Marco Schnabel
Action Adventure Comedy Thriller Crime,casino submachine gun hold-up robbery elvis reference to elvis presley,3000 Miles to Graceland,Kurt Russell Kevin Costner Courteney Cox Christian Slater Kevin Pollak,Demian Lichtenstein
Crime Drama Mystery Western,bounty hunter wyoming mountains narration hangman,The Hateful Eight,Samuel L. Jackson Kurt Russell Jennifer Jason Leigh Walton Goggins Demi\u00e1n Bichir,Quentin Tarantino
Action Comedy Drama,competition olympic games sport rivalry ice skating,Blades of Glory,Will Ferrell Jon Heder Will Arnett Amy Poehler Jenna Fischer,Josh Gordon
Animation Comedy Family,coup d'etat slacker easter easter bunny aftercreditsstinger,Hop,Russell Brand James Marsden Kaley Cuoco Hank Azaria Elizabeth Perkins,Tim Hill
Action Adventure War,evisceration javelin shield army fall from height,300,Gerard Butler Lena Headey Dominic West David Wenham Vincent Regan,Zack Snyder
Comedy Romance,cia parents kids relationship florida anti-authoritarian upbringing jew,Meet the Fockers,Ben Stiller Teri Polo Robert De Niro Dustin Hoffman Barbra Streisand,Jay Roach
Comedy Family,journalist based on novel puppy dog duringcreditsstinger,Marley & Me,Owen Wilson Jennifer Aniston Eric Dane Kathleen Turner Alan Arkin,David Frankel
Fantasy Drama Crime,southern usa black people mentally disabled based on novel heal,The Green Mile,Tom Hanks Michael Clarke Duncan David Morse Bonnie Hunt James Cromwell,Frank Darabont
Action Adventure Comedy,midlife crisis road trip politically incorrect motorcycle gang biker film,Wild Hogs,Tim Allen John Travolta Martin Lawrence William H. Macy Ray Liotta,Walt Becker
Animation Family Comedy,fish small town space marine chicken alien,Chicken Little,Zach Braff Joan Cusack Dan Molina Steve Zahn Garry Marshall,Mark Dindal
Mystery Thriller Drama,based on novel marriage crisis disappearance cheating husband missing person,Gone Girl,Ben Affleck Rosamund Pike Carrie Coon Neil Patrick Harris Tyler Perry,David Fincher
Action Drama Mystery Thriller,paris barcelona spain assassin based on novel secret identity,The Bourne Identity,Matt Damon Franka Potente Chris Cooper Clive Owen Brian Cox,Doug Liman
Adventure Action Thriller,cuba falsely accused secret identity computer virus secret base,GoldenEye,Pierce Brosnan Sean Bean Izabella Scorupco Famke Janssen Joe Don Baker,Martin Campbell
Crime Drama Mystery Thriller,suicide detective based on novel bondage general,The General's Daughter,John Travolta Madeleine Stowe James Cromwell Timothy Hutton Leslie Stefanson,Simon West
Comedy Drama,claustrophobia hidden camera dystopia reality show make believe,The Truman Show,Jim Carrey Laura Linney Noah Emmerich Natascha McElhone Ed Harris,Peter Weir
Adventure Animation Drama Family Music,moses egypt pyramid exodus kingdom,The Prince of Egypt,Val Kilmer Ralph Fiennes Patrick Stewart Michelle Pfeiffer Sandra Bullock,Simon Wells
Comedy Family,competition success kindergarten children unemployment,Daddy Day Care,Eddie Murphy Jeff Garlin Steve Zahn Regina King Kevin Nealon,Steve Carr
Action Comedy Crime,undercover undercover agent based on comic book money fugitive,2 Guns,Denzel Washington Mark Wahlberg Paula Patton Bill Paxton Fred Ward,Baltasar Korm\u00e1kur
Comedy Family,fight governance puppy allergy 3d,Cats & Dogs,Jeff Goldblum Elizabeth Perkins Alexander Pollock Miriam Margolyes Tobey Maguire,Lawrence Guterman
Action Crime,venice california train station helicopter austria,The Italian Job,Mark Wahlberg Charlize Theron Edward Norton Seth Green Jason Statham,F. Gary Gray
Romance Comedy,new york parish hall romantic comedy lawyer billionaire,Two Weeks Notice,Sandra Bullock Hugh Grant Alicia Witt Dana Ivey Robert Klein,Marc Lawrence
Adventure Animation Comedy Family,general hero worker ant work,Antz,Woody Allen Dan Aykroyd Anne Bancroft Danny Glover Gene Hackman,Eric Darnell
Comedy Romance,island married couple yoga tahiti couples therapy,Couples Retreat,Vince Vaughn Malin \u00c5kerman Jason Bateman Kristen Bell Jon Favreau,Peter Billingsley
Adventure,stock-car-race daytona car crash,Days of Thunder,Tom Cruise Robert Duvall Nicole Kidman Randy Quaid Cary Elwes,Tony Scott
Comedy,holiday lake big family father labor pain,Cheaper by the Dozen 2,Steve Martin Eugene Levy Bonnie Hunt Tom Welling Jonathan Bennett,Adam Shankman
Action,based on novel resistance maze post-apocalyptic dystopia,Maze Runner: The Scorch Trials,Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Giancarlo Esposito Aidan Gillen,Wes Ball
Drama,indonesia female protagonist india divorce bali,Eat Pray Love,Julia Roberts James Franco Javier Bardem Billy Crudup Richard Jenkins,Ryan Murphy
Comedy Drama Romance Fantasy,workaholic second chance guardian angel christmas career vs family,The Family Man,Nicolas Cage T\u00e9a Leoni Don Cheadle Saul Rubinek Amber Valletta,Brett Ratner
Action Adventure Comedy Crime Thriller,cia retirement shot to death sniper rifle retired,RED,Bruce Willis John Malkovich Helen Mirren Mary-Louise Parker Karl Urban,Robert Schwentke
Drama,american football trainer training american football coach sport,Any Given Sunday,Al Pacino Cameron Diaz Dennis Quaid James Woods Jamie Foxx,Oliver Stone
Drama Romance,love triangle new york montana attachment to nature confidence,The Horse Whisperer,Robert Redford Kristin Scott Thomas Sam Neill Scarlett Johansson Dianne Wiest,Robert Redford
Drama Crime Thriller,california taxi assassin hostage taxi driver,Collateral,Tom Cruise Jamie Foxx Jada Pinkett Smith Mark Ruffalo Peter Berg,Michael Mann
Action Fantasy Adventure,egypt temple,The Scorpion King,Dwayne Johnson Kelly Hu Michael Clarke Duncan Steven Brand Bernard Hill,Chuck Russell
Drama Action Thriller,ledge practical joke,Ladder 49,Joaquin Phoenix John Travolta Jacinda Barrett Robert Patrick Morris Chestnut,Jay Russell
Crime Drama Thriller,based on novel sniper investigation police quarry,Jack Reacher,Tom Cruise Rosamund Pike Richard Jenkins David Oyelowo Werner Herzog,Christopher McQuarrie
Action Science Fiction Thriller,shark attack shark alzheimer's disease killer shark no opening credits,Deep Blue Sea,Thomas Jane Saffron Burrows LL Cool J Michael Rapaport Samuel L. Jackson,Renny Harlin
Music Documentary,pop star music concert aftercreditsstinger duringcreditsstinger,This Is It,Michael Jackson Orianthi Kenny Ortega Dorian Holley Patrick Woodroffe,Kenny Ortega
Drama Thriller Science Fiction,saving the world mutation infection terminal illness quarantine,Contagion,Matt Damon Gwyneth Paltrow Kate Winslet Jude Law Marion Cotillard,Steven Soderbergh
Comedy Adventure Crime,money delivery fool australia hoodlum kangaroo,Kangaroo Jack,Jerry O'Connell Anthony Anderson Estella Warren Christopher Walken Michael Shannon,David McNally
Animation Family,dream eye stuffed animal parallel world button,Coraline,Dakota Fanning Teri Hatcher Jennifer Saunders Dawn French Keith David,Henry Selick
Thriller Science Fiction,tree natural disaster crisis park strange behavior,The Happening,Mark Wahlberg Zooey Deschanel John Leguizamo Spencer Breslin Betty Buckley,M. Night Shyamalan
Action Drama Thriller Crime,mexico cia kidnapping diary bible,Man on Fire,Denzel Washington Dakota Fanning Marc Anthony Radha Mitchell Christopher Walken,Tony Scott
Comedy Family,father son relationship parents kids relationship workaholic wife husband relationship transformation,The Shaggy Dog,Tim Allen Kristin Davis Danny Glover Spencer Breslin Robert Downey Jr.,Brian Robbins
Comedy Crime,informant jumping from a rooftop surveillance footage,Starsky & Hutch,Ben Stiller Owen Wilson Snoop Dogg Fred Williamson Vince Vaughn,Todd Phillips
Family Comedy,holiday christmas party santa claus toy puppet,Jingle All the Way,Arnold Schwarzenegger Phil Hartman Sinbad Rita Wilson Jake Lloyd,Brian Levant
Fantasy Action Science Fiction,black magic fistfight cover-up superhero paranormal phenomena,Hellboy,Ron Perlman Selma Blair Rupert Evans John Hurt Jeffrey Tambor,Guillermo del Toro
Drama,success advancement right and justice leukemia lawyer,A Civil Action,John Travolta Robert Duvall Tony Shalhoub William H. Macy Zeljko Ivanek,Steven Zaillian
Family Animation Adventure Comedy,medium stop motion curse jock ghost,ParaNorman,Kodi Smit-McPhee Tucker Albrizzi Jodelle Ferland Anna Kendrick Casey Affleck,Sam Fell
Action Thriller Adventure Crime,fbi cold war hitman,The Jackal,Bruce Willis Richard Gere Sidney Poitier Diane Venora J.K. Simmons,Michael Caton-Jones
Action Adventure Mystery Science Fiction Thriller,prophecy engineer scientist millionaire,Paycheck,Ben Affleck Aaron Eckhart Uma Thurman Paul Giamatti Colm Feore,John Woo
Drama Romance,miami television career vitamin b reporter,Up Close & Personal,Robert Redford Michelle Pfeiffer Stockard Channing Joe Mantegna Kate Nelligan,Jon Avnet
Adventure Animation Family,loyalty totalitarian regime mouse forgiveness honor,The Tale of Despereaux,Matthew Broderick Dustin Hoffman Emma Watson Tracey Ullman Kevin Kline,Robert Stevenhagen
Thriller Action Comedy Science Fiction,bomb intelligence chauffeur wound secret agent,The Tuxedo,Jackie Chan Jennifer Love Hewitt Jason Isaacs Debi Mazar Ritchie Coster,Kevin Donovan
Action Thriller,terrorist pentagon satellite navy seal train,Under Siege 2: Dark Territory,Steven Seagal Eric Bogosian Everett McGill Katherine Heigl Morris Chestnut,Geoff Murphy
Action Drama Thriller,london england corruption cia terrorist sniper,Jack Ryan: Shadow Recruit,Chris Pine Keira Knightley Kevin Costner Kenneth Branagh Lenn Kudrjawizki,Kenneth Branagh
Drama Comedy,factory inventor strong woman biography based on true story,Joy,Jennifer Lawrence Bradley Cooper Robert De Niro Dascha Polanco Edgar Ram\u00edrez,David O. Russell
Action Crime Thriller,london england terrorist terrorist attack,London Has Fallen,Gerard Butler Aaron Eckhart Morgan Freeman Angela Bassett Melissa Leo,Babak Najafi
Science Fiction Horror Action,android mercenary dystopia sequel alien,Alien: Resurrection,Sigourney Weaver Winona Ryder Brad Dourif Ron Perlman Michael Wincott,Jean-Pierre Jeunet
Action Drama Mystery Thriller Crime,corruption sniper senator conspiracy of murder childlessness,Shooter,Mark Wahlberg Michael Pe\u00f1a Danny Glover Kate Mara Elias Koteas,Antoine Fuqua
Animation Comedy Family Fantasy,based on novel stop motion father daughter relationship unlikely friendship duringcreditsstinger,The Boxtrolls,Ben Kingsley Isaac Hempstead-Wright Elle Fanning Dee Bradley Baker Toni Collette,Anthony Stacchi
Drama Fantasy Comedy,witch magic sorcery love curse,Practical Magic,Sandra Bullock Nicole Kidman Evan Rachel Wood Goran Visnjic Stockard Channing,Griffin Dunne
Adventure Animation Comedy Family Fantasy,father son relationship creativity friendship part live action toys,The Lego Movie,Chris Pratt Will Ferrell Elizabeth Banks Will Arnett Nick Offerman,Phil Lord
