genres,keywords,title,cast,director,popularity
Action Drama Thriller Crime,mexico cia kidnapping diary bible,Man on Fire,Denzel Washington Dakota Fanning Marc Anthony Radha Mitchell Christopher Walken,Tony Scott,45.299089
Comedy Family,father son relationship parents kids relationship workaholic wife husband relationship transformation,The Shaggy Dog,Tim Allen Kristin Davis Danny Glover Spencer Breslin Robert Downey Jr.,Brian Robbins,4.2806190000000015
Comedy Crime,informant jumping from a rooftop surveillance footage,Starsky & Hutch,Ben Stiller Owen Wilson Snoop Dogg Fred Williamson Vince Vaughn,Todd Phillips,28.848841999999998
Family Comedy,holiday christmas party santa claus toy puppet,Jingle All the Way,Arnold Schwarzenegger Phil Hartman Sinbad Rita Wilson Jake Lloyd,Brian Levant,22.501041
Fantasy Action Science Fiction,black magic fistfight cover-up superhero paranormal phenomena,Hellboy,Ron Perlman Selma Blair Rupert Evans John Hurt Jeffrey Tambor,Guillermo del Toro,47.479755
Drama,success advancement right and justice leukemia lawyer,A Civil Action,John Travolta Robert Duvall Tony Shalhoub William H. Macy Zeljko Ivanek,Steven Zaillian,10.147321
Family Animation Adventure Comedy,medium stop motion curse jock ghost,ParaNorman,Kodi Smit-McPhee Tucker Albrizzi Jodelle Ferland Anna Kendrick Casey Affleck,Sam Fell,39.539045
Action Thriller Adventure Crime,fbi cold war hitman,The Jackal,Bruce Willis Richard Gere Sidney Poitier Diane Venora J.K. Simmons,Michael Caton-Jones,19.747459
Action Adventure Mystery Science Fiction Thriller,prophecy engineer scientist millionaire,Paycheck,Ben Affleck Aaron Eckhart Uma Thurman Paul Giamatti Colm Feore,John Woo,29.018826
Drama Romance,miami television career vitamin b reporter,Up Close & Personal,Robert Redford Michelle Pfeiffer Stockard Channing Joe Mantegna Kate Nelligan,Jon Avnet,4.801849
Adventure Animation Family,loyalty totalitarian regime mouse forgiveness honor,The Tale of Despereaux,Matthew Broderick Dustin Hoffman Emma Watson Tracey Ullman Kevin Kline,Robert Stevenhagen,16.493576
Thriller Action Comedy Science Fiction,bomb intelligence chauffeur wound secret agent,The Tuxedo,Jackie Chan Jennifer Love Hewitt Jason Isaacs Debi Mazar Ritchie Coster,Kevin Donovan,21.549232
Action Thriller,terrorist pentagon satellite navy seal train,Under Siege 2: Dark Territory,Steven Seagal Eric Bogosian Everett McGill Katherine Heigl Morris Chestnut,Geoff Murphy,13.080725
Action Drama Thriller,london england corruption cia terrorist sniper,Jack Ryan: Shadow Recruit,Chris Pine Keira Knightley Kevin Costner Kenneth Branagh Lenn Kudrjawizki,Kenneth Branagh,42.538258
Drama Comedy,factory inventor strong woman biography based on true story,Joy,Jennifer Lawrence Bradley Cooper Robert De Niro Dascha Polanco Edgar Ram\u00edrez,David O. Russell,29.876507
Action Crime Thriller,london england terrorist terrorist attack,London Has Fallen,Gerard Butler Aaron Eckhart Morgan Freeman Angela Bassett Melissa Leo,Babak Najafi,61.849520999999996
Science Fiction Horror Action,android mercenary dystopia sequel alien,Alien: Resurrection,Sigourney Weaver Winona Ryder Brad Dourif Ron Perlman Michael Wincott,Jean-Pierre Jeunet,37.44963
Action Drama Mystery Thriller Crime,corruption sniper senator conspiracy of murder childlessness,Shooter,Mark Wahlberg Michael Pe\u00f1a Danny Glover Kate Mara Elias Koteas,Antoine Fuqua,37.378081
Animation Comedy Family Fantasy,based on novel stop motion father daughter relationship unlikely friendship duringcreditsstinger,The Boxtrolls,Ben Kingsley Isaac Hempstead-Wright Elle Fanning Dee Bradley Baker Toni Collette,Anthony Stacchi,30.656345
Drama Fantasy Comedy,witch magic sorcery love curse,Practical Magic,Sandra Bullock Nicole Kidman Evan Rachel Wood Goran Visnjic Stockard Channing,Griffin Dunne,15.142701
Adventure Animation Comedy Family Fantasy,father son relationship creativity friendship part live action toys,The Lego Movie,Chris Pratt Will Ferrell Elizabeth Banks Will Arnett Nick Offerman,Phil Lord,59.54792800000001
Action Comedy,ransom press conference ship miss america fbi agent,Miss Congeniality 2: Armed and Fabulous,Sandra Bullock Regina King Enrique Murciano William Shatner Eileen Brennan,John Pasquin,19.998581
Adventure Action Fantasy,dragon evolution fire chief animated map theatre audience,Reign of Fire,Christian Bale Matthew McConaughey Izabella Scorupco Gerard Butler Alexander Siddig,Rob Bowman,27.61510800000001
Crime Drama Action Thriller,los angeles gangster,Gangster Squad,Josh Brolin Ryan Gosling Nick Nolte Emma Stone Sean Penn,Ruben Fleischer,29.041197999999998
Comedy Adventure,temple slavery stone age circumcision hebrews,Year One,Jack Black Michael Cera Olivia Wilde Oliver Platt David Cross,Harold Ramis,25.293538
Drama History,stadium south africa apartheid nelson mandela sport,Invictus,Morgan Freeman Matt Damon Tony Kgoroge Patrick Mofokeng Matt Stern,Clint Eastwood,23.85119
Action,corruption assassination detective journalist assassin,State of Play,Russell Crowe Ben Affleck Rachel McAdams Robin Wright Jason Bateman,Kevin Macdonald,21.685719
Romance Comedy Crime,spy,Duplicity,Clive Owen Julia Roberts Paul Giamatti Tom Wilkinson Lisa Roberts Gillan,Tony Gilroy,13.630049
Comedy Drama Family Science Fiction,alien martian based on tv series fish out of water,My Favorite Martian,Jeff Daniels Elizabeth Hurley Daryl Hannah Christopher Lloyd Wallace Shawn,Donald Petrie,6.80692
Action Thriller Crime,usa president agent,The Sentinel,Michael Douglas Kiefer Sutherland Eva Longoria Martin Donovan Kim Basinger,Clark Johnson,15.352807
Science Fiction Animation Family Comedy Adventure,flying saucer alien life-form spaceship alien alien planet,Planet 51,Dwayne Johnson Seann William Scott Jessica Biel Justin Long Gary Oldman,Jorge Blanco,23.661071
Science Fiction Action Adventure Thriller,clone assassination ambush federation starfleet,Star Trek: Nemesis,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,Stuart Baird,21.605532999999998
Crime Comedy Romance,california assassin infidelity fetish hitman,Intolerable Cruelty,George Clooney Catherine Zeta-Jones Edward Herrmann Geoffrey Rush Richard Jenkins,Joel Coen,22.620125
Drama Romance,women baseball pitcher home run aging,Trouble with the Curve,Clint Eastwood Amy Adams Justin Timberlake John Goodman Matthew Lillard,Robert Lorenz,18.587114
Crime Drama Mystery Thriller,murder violence death of daughter homicide detective,Edge of Darkness,Mel Gibson Ray Winstone Danny Huston Shawn Roberts Denis O'Hare,Martin Campbell,24.657931
Horror Mystery Thriller,chicago based on novel monster museum pile of dead bodies,The Relic,Penelope Ann Miller Tom Sizemore Linda Hunt James Whitmore Clayton Rohner,Peter Hyams,12.621769
Comedy Crime,prison gold therapist gangster,Analyze That,Robert De Niro Billy Crystal Lisa Kudrow Joe Viterelli Cathy Moriarty,Harold Ramis,21.08952
Action Crime Drama Thriller,revenge murder plot twist dirty cop,Righteous Kill,Robert De Niro Carla Gugino 50 Cent Al Pacino Donnie Wahlberg,Jon Avnet,18.380176000000002
Action Crime Drama Thriller,assassin loss of family autism fbi bangkok,Mercury Rising,Bruce Willis Alec Baldwin Miko Hughes Chi McBride Kim Dickens,Harold Becker,18.877795000000006
Drama,newspaper cello musical violin los angeles,The Soloist,Robert Downey Jr. Jamie Foxx Catherine Keener Nelsan Ellis Michael Bunin,Joe Wright,17.299332999999994
Fantasy Drama,competition world war i great depression caddy savannah,The Legend of Bagger Vance,Matt Damon Bruce McGill Charlize Theron Will Smith Joel Gretsch,Robert Redford,16.848899
Drama Music,hotel room san diego drug addiction stewardess overdose,Almost Famous,Kate Hudson Billy Crudup Frances McDormand Jason Lee Patrick Fugit,Cameron Crowe,21.547446
Animation Comedy Family,london england cat mistake in person luxury wretch,Garfield: A Tail of Two Kitties,Bill Murray Jennifer Love Hewitt Billy Connolly Ian Abercrombie Breckin Meyer,Tim Hill,16.930969
Action Adventure Crime Drama Mystery,washington d.c. helicopter usa president general coup d'etat,xXx: State of the Union,Ice Cube Samuel L. Jackson Willem Dafoe Scott Speedman Peter Strauss,Lee Tamahori,36.689223
Action Science Fiction Fantasy Thriller Horror,vampire crucifixion post-apocalyptic dystopia vampire hunter,Priest,Paul Bettany Karl Urban Cam Gigandet Maggie Q Lily Collins,Scott Stewart,28.350927000000002
Family Animation Adventure,prince water monster,Sinbad: Legend of the Seven Seas,Brad Pitt Catherine Zeta-Jones Michelle Pfeiffer Joseph Fiennes Dennis Haysbert,Tim Johnson,18.815442
Horror Science Fiction Mystery,space marine nudity nightmare hallucination cryogenics,Event Horizon,Laurence Fishburne Sam Neill Kathleen Quinlan Joely Richardson Richard T. Jones,Paul W.S. Anderson,29.787135
Drama,pregnancy and birth voice dragonfly car crash jungle,Dragonfly,Kevin Costner Joe Morton Ron Rifkin Susanna Thompson Kathy Bates,Tom Shadyac,8.927137
Drama,pornography observer los angeles murder hunt,The Black Dahlia,Josh Hartnett Scarlett Johansson Aaron Eckhart Hilary Swank Mia Kirshner,Brian De Palma,15.213484
Action Adventure Drama History Romance,world war i biplane,Flyboys,James Franco David Ellison Jean Reno Philip Winchester Abdul Salis,Tony Bill,13.155999
Action Drama Thriller,prison general,The Last Castle,Robert Redford James Gandolfini Mark Ruffalo Steve Burton Delroy Lindo,Rod Lurie,15.433244
Horror Science Fiction Thriller,black people starships future star supernova,Supernova,James Spader Angela Bassett Robert Forster Lou Diamond Phillips Peter Facinelli,Walter Hill,5.762037
Drama Fantasy Mystery Romance,based on novel,Winter's Tale,Colin Farrell Jessica Brown Findlay Russell Crowe William Hurt Jennifer Connelly,Akiva Goldsman,22.736038
Action Adventure Drama Mystery Romance,angel vampire werewolf warlock downworlder,The Mortal Instruments: City of Bones,Lily Collins Jamie Campbell Bower Kevin Zegers Jemima West Robert Sheehan,Harald Zwart,45.514031
Comedy Science Fiction Adventure Family,new york captain starships new love earth,Meet Dave,Eddie Murphy Elizabeth Banks Gabrielle Union Scott Caan Ed Helms,Brian Robbins,18.676291
Drama Horror Thriller,based on novel water remake teacher divorce,Dark Water,Jennifer Connelly John C. Reilly Tim Roth Dougray Scott Pete Postlethwaite,Walter Salles,14.376463000000001
Comedy,tv show tv station simulated reality  reality tv tv star,Edtv,Matthew McConaughey Woody Harrelson Sally Kirkland Jenna Elfman Martin Landau,Ron Howard,14.298297
Adventure Family Fantasy,book fairy tale eavesdropping adventure writer's block,Inkheart,Brendan Fraser Sienna Guillory Andy Serkis Eliza Bennett Paul Bettany,Iain Softley,27.018886
Action Comedy Thriller Crime Science Fiction,secret identity robber mask frog based on comic strip,The Spirit,Gabriel Macht Scarlett Johansson Samuel L. Jackson Eva Mendes Paz Vega,Frank Miller,14.84856
Comedy Adventure,based on novel painting debt art dealer stolen painting,Mortdecai,Johnny Depp Gwyneth Paltrow Ewan McGregor Paul Bettany Olivia Munn,David Koepp,52.417528999999995
Adventure Fantasy Action Drama,fictional place monster loss of family new love hero,In the Name of the King: A Dungeon Siege Tale,Jason Statham John Rhys-Davies Ray Liotta Leelee Sobieski Burt Reynolds,Uwe Boll,15.406173
Drama Romance Adventure War,london england cia landmine love of one's life cambodia,Beyond Borders,Angelina Jolie Clive Owen Teri Polo Linus Roache Noah Emmerich,Martin Campbell,6.523472
Action Adventure Fantasy,monkey king,The Monkey King 2,Aaron Kwok Gong Li William Feng Xiao Shen Yang Him Law,Soi Cheang,4.7262900000000005
Action History War,based on novel world war ii prisoners of war narration archive footage,The Great Raid,Benjamin Bratt James Franco Connie Nielsen Marton Csokas Joseph Fiennes,John Dahl,8.923214999999997
Action Adventure Comedy,anti hero mercenary marvel comic superhero based on comic book,Deadpool,Ryan Reynolds Morena Baccarin Ed Skrein T.J. Miller Gina Carano,Tim Miller,514.5699559999998
Drama Comedy,salesclerk television tv ratings guru television producer,Holy Man,Eddie Murphy Jeff Goldblum Kelly Preston Robert Loggia Jon Cryer,Stephen Herek,9.265672
War Action,sniper biography iraq navy seal u.s. soldier,American Sniper,Bradley Cooper Sienna Miller Kyle Gallner Cole Konis Ben Reed,Clint Eastwood,87.53437
Adventure Horror Comedy,based on novel magic fantasy werewolf family,Goosebumps,Jack Black Dylan Minnette Odeya Rush Amy Ryan Jillian Bell,Rob Letterman,45.351617
Comedy Fantasy Romance,coma based on novel workaholic flirt architect,Just Like Heaven,Reese Witherspoon Mark Ruffalo Donal Logue Dina Spybey-Waters Ben Shenkman,Mark Waters,13.43573
Science Fiction Comedy Family Romance,waitress marriage proposal flirt stone age best friend,The Flintstones in Viva Rock Vegas,Mark Addy Stephen Baldwin Kristen Johnston Jane Krakowski Joan Collins,Brian Levant,6.248309
Action Adventure Thriller War,competition submachine gun soviet union liberation russian,Rambo III,Sylvester Stallone Richard Crenna Kurtwood Smith Spiros Foc\u00e1s Sasson Gabai,Peter MacDonald,31.294717
Comedy Romance Drama,american football sports team stadium hero success,Leatherheads,George Clooney Ren\u00e9e Zellweger John Krasinski Wayne Duvall Stephen Root,George Clooney,7.7392759999999985
Comedy Western,wild west,The Ridiculous 6,Adam Sandler Taylor Lautner Steve Buscemi Terry Crews Danny Trejo,Frank Coraci,19.694695
Comedy,witness protection comedy duringcreditsstinger,Did You Hear About the Morgans?,Hugh Grant Sarah Jessica Parker Mary Steenburgen Sam Elliott Natalia Klimas,Marc Lawrence,14.403696
Comedy,job interview loss of job intern reference to google new job,The Internship,Owen Wilson Vince Vaughn Rose Byrne Max Minghella Aasif Mandvi,Shawn Levy,1.551497
Action Adventure Horror Science Fiction,post-apocalyptic dystopia undead biohazard evil corporation,Resident Evil: Afterlife,Milla Jovovich Wentworth Miller Ali Larter Kim Coates Kacey Clarke,Paul W.S. Anderson,2.143764
Drama Action Adventure History War,world war ii fighter pilot fighter plane,Red Tails,Bryan Cranston David Oyelowo Cuba Gooding Jr. Daniela Ruah Terrence Howard,Anthony Hemingway,12.29603
Drama Horror Mystery Thriller,child abuse southern usa obsession subway nudity,The Devil's Advocate,Keanu Reeves Al Pacino Charlize Theron Jeffrey Jones Judith Ivey,Taylor Hackford,33.8473
Comedy,deadbeat dad cheating fianc\u00e9e teacher student sex brother sister incest,That's My Boy,Adam Sandler Susan Sarandon Eva Amurri Martino Leighton Meester Andy Samberg,Sean Anders,21.723897
Fantasy,magic kingdom despot immortality village,DragonHeart,Dennis Quaid David Thewlis Pete Postlethwaite Dina Meyer Julie Christie,Rob Cohen,31.791978999999998
Action Comedy Crime Drama,bahamas master thief crook couple,After the Sunset,Pierce Brosnan Salma Hayek Woody Harrelson Troy Garity Russell Hornsby,Brett Ratner,14.113066
Action Fantasy Thriller,monk eastern europe skeleton biker marvel comic,Ghost Rider: Spirit of Vengeance,Nicolas Cage Ciar\u00e1n Hinds Violante Placido Fergus Riordan Johnny Whitworth,Brian Taylor,48.622278
Drama History Romance,officer greek island mandolin italian soldier resistance fighter,Captain Corelli's Mandolin,Nicolas Cage Pen\u00e9lope Cruz John Hurt Christian Bale Irene Papas,John Madden,9.061866
Action Comedy Drama Family Thriller,bodybuilder children body guard scientist family,The Pacifier,Vin Diesel Lauren Graham Faith Ford Chris Potter Brittany Snow,Adam Shankman,35.4763
Adventure Drama Action Thriller,casino sheriff home violence special forces,Walking Tall,Dwayne Johnson Johnny Knoxville Neal McDonough Kristen Wilson Cobie Smulders,Kevin Bray,23.438398
Comedy Drama Romance,vietnam veteran hippie mentally disabled running based on novel,Forrest Gump,Tom Hanks Robin Wright Gary Sinise Mykelti Williamson Sally Field,Robert Zemeckis,138.133331
Comedy Music Family Fantasy Animation,pop pop star record producer surprise approach,Alvin and the Chipmunks,Jason Lee David Cross Cameron Richardson Jane Lynch Justin Long,Tim Hill,47.33603400000001
Comedy Romance,cia airport cat jew orderly,Meet the Parents,Ben Stiller Robert De Niro Teri Polo Blythe Danner Owen Wilson,Jay Roach,29.97224000000001
Adventure Animation Drama Family,culture clash settler forbidden love colony musical,Pocahontas,Irene Bedard Mel Gibson David Ogden Stiers John Kassir Russell Means,Mike Gabriel,47.845589000000004
Action Adventure Fantasy Science Fiction,saving the world journalist dc comics crime fighter nuclear missile,Superman,Christopher Reeve Marlon Brando Margot Kidder Gene Hackman Ned Beatty,Richard Donner,48.507081
Fantasy Comedy Romance Science Fiction,overweight overweight man duringcreditsstinger,The Nutty Professor,Eddie Murphy Jada Pinkett Smith James Coburn Larry Miller Dave Chappelle,Tom Shadyac,20.28119
Comedy Drama Romance,speed date romantic comedy dating,Hitch,Will Smith Eva Mendes Kevin James Amber Valletta Julie Ann Emery,Andy Tennant,34.576913
Adventure Comedy Family Romance,africa san francisco gorilla lion feral child,George of the Jungle,Brendan Fraser Leslie Mann Thomas Haden Church John Cleese Richard Roundtree,Sam Weisman,22.573237
Comedy Romance,handcuffs sister sister relationship spanner blow job stag night,American Wedding,Jason Biggs Alyson Hannigan Seann William Scott Eddie Kaye Thomas Thomas Ian Nicholas,Jesse Dylan,36.194802
Action Drama Thriller,ship hijacking somalia fisherman blood,Captain Phillips,Tom Hanks Catherine Keener Max Martini Chris Mulkey Yul Vazquez,Paul Greengrass,52.786917
Comedy,date corruption taxi expensive restaurant wife husband relationship,Date Night,Tina Fey Steve Carell Mark Wahlberg Taraji P. Henson Jimmi Simpson,Shawn Levy,38.061679999999996
Fantasy Comedy Family,halloween friendship supernatural afterlife friends,Casper,Christina Ricci Bill Pullman Cathy Moriarty Eric Idle Joe Nipote,Brad Silberling,19.830132
Thriller Action Crime,corruption assassin hostage fbi hitman,The Equalizer,Denzel Washington Marton Csokas Chlo\u00eb Grace Moretz David Harbour Haley Bennett,Antoine Fuqua,79.92205899999998
Comedy Drama Romance,hotel politician mistaken identity maid class differences,Maid in Manhattan,Jennifer Lopez Ralph Fiennes Natasha Richardson Stanley Tucci Tyler Posey,Wayne Wang,19.738215
Action Thriller Drama,submarine mutiny russia missile nuclear missile,Crimson Tide,Denzel Washington Gene Hackman Matt Craven George Dzundza Viggo Mortensen,Tony Scott,20.334629
Drama,san francisco single parent homeless person bus worker,The Pursuit of Happyness,Will Smith Jaden Smith Thandie Newton Brian Howe James Karen,Gabriele Muccino,80.581367
Thriller Drama Mystery,berlin loss of father airplane baby-snatching,Flightplan,Jodie Foster Peter Sarsgaard Sean Bean Kate Beahan Michael Irby,Robert Schwentke,32.05145
Drama Thriller Crime Mystery Romance,employee workplace sexual harassment intrigue,Disclosure,Michael Douglas Demi Moore Donald Sutherland Dylan Baker Jacqueline Kim,Barry Levinson,15.064058
Drama Fantasy Romance,suicide angel life and death desperation operation,City of Angels,Nicolas Cage Meg Ryan Andre Braugher Dennis Franz Colm Feore,Brad Silberling,21.272734
Action Crime,japan coma martial arts kung fu underworld,Kill Bill: Vol. 1,Uma Thurman Lucy Liu Vivica A. Fox Daryl Hannah David Carradine,Quentin Tarantino,79.75496600000002
Comedy,film producer film director movie studio hollywood filmmaking,Bowfinger,Steve Martin Eddie Murphy Heather Graham Christine Baranski Jamie Kennedy,Frank Oz,13.191829
Action Crime Thriller,brother brother relationship swordplay katana mother role rage and hate,Kill Bill: Vol. 2,Uma Thurman David Carradine Daryl Hannah Michael Madsen Gordon Liu Chia-Hui,Quentin Tarantino,50.622607
Action Adventure Comedy,prisoner war on drugs los angeles,Tango & Cash,Sylvester Stallone Kurt Russell Teri Hatcher Jack Palance Brion James,Andrei Konchalovsky,22.78766700000001
Fantasy Comedy,jealousy beauty immortality rivalry potion,Death Becomes Her,Meryl Streep Bruce Willis Goldie Hawn Isabella Rossellini Ian Ogilvy,Robert Zemeckis,29.498303999999997
Adventure Action Comedy Western,princess sioux travel rescue native american,Shanghai Noon,Jackie Chan Owen Wilson Lucy Liu Xander Berkeley Roger Yuan,Tom Dey,25.400935
Action Adventure Drama Thriller,bomb ransom hostage airplane hijacking,Executive Decision,Kurt Russell Steven Seagal Halle Berry John Leguizamo Oliver Platt,Stuart Baird,17.231675
Comedy Family,taxi restaurant zoo penguin ex husband,Mr. Popper's Penguins,Jim Carrey Carla Gugino Madeline Carroll Angela Lansbury Ophelia Lovibond,Mark Waters,32.835777
Action Adventure Fantasy,tempel shaolin teenager urination staff,The Forbidden Kingdom,Jackie Chan Jet Li Michael Angarano Liu Yifei Li Bingbing,Rob Minkoff,17.097041
Animation Comedy Family,holiday thanksgiving freedom duringcreditsstinger 3d,Free Birds,Owen Wilson Woody Harrelson Amy Poehler George Takei Colm Meaney,Jimmy Hayward,14.414937
Science Fiction Action Horror,prison android spacecraft space marine imprisonment,Alien³,Sigourney Weaver Charles S. Dutton Charles Dance Pete Postlethwaite Ralph Brown,David Fincher,45.856409
History Drama Music,prostitute deification dancehall hostess per\u00f3nism argentine president,Evita,Madonna Antonio Banderas Jonathan Pryce Jimmy Nail Victoria Sus,Alan Parker,7.027139
Action Thriller Crime Adventure,paris france arms deal audi impostor,Ronin,Robert De Niro Jean Reno Natascha McElhone Stellan Skarsg\u00e5rd Sean Bean,John Frankenheimer,32.657488
Adventure,africa lion bridge based on true story kenya,The Ghost and the Darkness,Michael Douglas Val Kilmer Tom Wilkinson John Kani Emily Mortimer,Stephen Hopkins,12.46525
Family Comedy,england train station based on novel bear anthropomorphism,Paddington,Nicole Kidman Peter Capaldi Ben Whishaw Michael Gambon Imelda Staunton,Paul King,39.882276
Comedy,usa sterility castration marriage friendship,The Watch,Ben Stiller Vince Vaughn Jonah Hill Richard Ayoade Rosemarie DeWitt,Akiva Schaffer,39.395881
Drama Action Thriller Crime,hunter fbi knife balkan war woods,The Hunted,Tommy Lee Jones Benicio del Toro Connie Nielsen Leslie Stefanson John Finn,William Friedkin,8.634953999999999
Drama Mystery Thriller,prison gorilla research instinct murder,Instinct,Anthony Hopkins Cuba Gooding Jr. Donald Sutherland Maura Tierney George Dzundza,Jon Turteltaub,7.386394
Comedy,sex dancer martial arts cook stripper,Stuck on You,Matt Damon Greg Kinnear Eva Mendes Wen Yann Shih Seymour Cassel,Bobby Farrelly,8.802525
Comedy,sport basketball flint michigan nba merger,Semi-Pro,Will Ferrell Maura Tierney Woody Harrelson David Koechner Will Arnett,Kent Alterman,10.449975
Animation Adventure Family Comedy,rivalry stop motion pirate aftercreditsstinger duringcreditsstinger,The Pirates! In an Adventure with Scientists!,Hugh Grant Brendan Gleeson Jeremy Piven Brian Blessed Salma Hayek,Peter Lord,23.700758999999998
Crime Drama Mystery,corruption mother nudity minister power,Changeling,Angelina Jolie Jeffrey Donovan John Malkovich Geoff Pierson Amy Ryan,Clint Eastwood,27.509159999999998
Action Drama Science Fiction Thriller,fbi hydrogen bomb secret lab energy supply conspiracy,Chain Reaction,Keanu Reeves Morgan Freeman Rachel Weisz Fred Ward Kevin Dunn,Andrew Davis,20.588620000000002
Drama Mystery Thriller,sport luck san francisco giants child custody baseball pitcher,The Fan,Robert De Niro Wesley Snipes Ellen Barkin John Leguizamo Benicio del Toro,Tony Scott,4.3664879999999995
Thriller Drama Romance,dancing obsession auction wheelchair rose,The Phantom of the Opera,Gerard Butler Emmy Rossum Patrick Wilson Miranda Richardson Minnie Driver,Joel Schumacher,18.927463
Drama History Romance,england assassination spain virgin colony,Elizabeth: The Golden Age,Cate Blanchett Clive Owen Geoffrey Rush Laurence Fox Tom Hollander,Shekhar Kapur,15.274137
Action Science Fiction,martial arts dystopia surrealism based on cartoon shootout,Æon Flux,Charlize Theron Marton Csokas Jonny Lee Miller Sophie Okonedo Frances McDormand,Karyn Kusama,29.954302000000002
Drama History War,war battle union soldier confederate soldier american civil war,Gods and Generals,Stephen Lang Jeff Daniels Robert Duvall Kevin Conway C. Thomas Howell,Ronald F. Maxwell,4.362535
Action Thriller Crime,stewardess airplane shootout air marshal christmas,Turbulence,Ray Liotta Lauren Holly Brendan Gleeson H\u00e9ctor Elizondo Rachel Ticotin,Robert Butler,4.700024
Comedy,,Imagine That,Eddie Murphy Thomas Haden Church Yara Shahidi Ronny Cox Stephen Rannazzisi,Karey Kirkpatrick,12.340384
Comedy Adventure Crime Family,musical the muppets,Muppets Most Wanted,Ricky Gervais Ty Burrell Tina Fey Steve Whitmire Eric Jacobson,James Bobin,14.808304000000001
Action Adventure Comedy Family Fantasy,secret organization based on tv series golden gate bridge locker oil rig\u00a0,Thunderbirds,Brady Corbet Soren Fulton Debora Weston Lou Hirsch Alex Barringer,Jonathan Frakes,9.27875
Drama Romance,musical los angeles burlesque burlesque dancer,Burlesque,Cher Christina Aguilera Eric Dane Cam Gigandet Julianne Hough,Steve Antin,22.863516
Drama,paris prostitute loss of lover amnesia bodily disabled person,A Very Long Engagement,Audrey Tautou Gaspard Ulliel Dominique Pinon Chantal Neuwirth Andr\u00e9 Dussollier,Jean-Pierre Jeunet,23.05451
Drama Romance,sexual obsession hotel depression loss of mother small town,Lolita,James Mason Sue Lyon Shelley Winters Peter Sellers Lois Maxwell,Stanley Kubrick,23.962108999999998
Action Thriller,alcoholism serial killer hospital police officer detox,D-Tox,Sylvester Stallone Courtney B. Vance Tom Berenger Charles S. Dutton Jeffrey Wright,Jim Gillespie,12.669777999999999
Fantasy Horror Action Thriller,katana mutation vampire silver superhero,Blade II,Wesley Snipes Kris Kristofferson Ron Perlman Leonor Varela Norman Reedus,Guillermo del Toro,67.16958699999999
Drama,vegetarian tax collector pianist blind organ transplant,Seven Pounds,Will Smith Rosario Dawson Sarah Jane Morris Woody Harrelson Michael Ealy,Gabriele Muccino,41.472404
Action Crime Thriller,,Bullet to the Head,Sylvester Stallone Sung Kang Sarah Shahi Adewale Akinnuoye-Agbaje Jason Momoa,Walter Hill,22.503935000000002
Crime Drama Thriller,italy christianity new york assassination italo-american,The Godfather: Part III,Al Pacino Diane Keaton Andy Garc\u00eda Talia Shire Sofia Coppola,Francis Ford Coppola,59.194915
Comedy Drama Romance,suicide hotel room suicide attempt new love funeral,Elizabethtown,Orlando Bloom Kirsten Dunst Susan Sarandon Alec Baldwin Bruce McGill,Cameron Crowe,22.894898
Comedy Romance,roommate love of one's life newlywed,"You, Me and Dupree",Kate Hudson Owen Wilson Matt Dillon Michael Douglas Seth Rogen,Anthony Russo,18.600367000000002
Action Adventure Fantasy Science Fiction,saving the world dc comics sequel superhero based on comic book,Superman II,Gene Hackman Christopher Reeve Ned Beatty Jackie Cooper Sarah Douglas,Richard Lester,30.515175
Drama,new york mentally disabled kidnapping blackmail mission of murder,Gigli,Ben Affleck Jennifer Lopez Justin Bartha Lainie Kazan Lenny Venito,Martin Brest,9.053456
Drama Thriller,corruption journalist based on novel blackmail manipulation,All the King's Men,Sean Penn Jude Law Kate Winslet James Gandolfini Patricia Clarkson,Steven Zaillian,7.768223
Action Adventure Crime Thriller,corruption black people italo-american brother sister relationship drug dealer,Shaft,Samuel L. Jackson Jeffrey Wright Christian Bale Busta Rhymes Dan Hedaya,John Singleton,19.643365
Animation Family,tzar musical russian revolution train explosion foreign language adaptation,Anastasia,Meg Ryan John Cusack Christopher Lloyd Angela Lansbury Hank Azaria,Gary Goldman,45.565917999999996
Drama Music Romance,duke musical writer's block music terminal illness,Moulin Rouge!,Nicole Kidman Ewan McGregor John Leguizamo Jim Broadbent Richard Roxburgh,Baz Luhrmann,57.374341
Mystery Thriller Crime,menace adoption dangerous adoptive father threat to death,Domestic Disturbance,John Travolta Vince Vaughn Teri Polo Matt O'Leary Steve Buscemi,Harold Becker,8.418560000000001
Crime Drama,boston based on true story organized crime,Black Mass,Johnny Depp Joel Edgerton Benedict Cumberbatch Dakota Johnson Kevin Bacon,Scott Cooper,46.049902
War Drama History,world war ii dying and death pacific iwo jima aftercreditsstinger,Flags of Our Fathers,Ryan Phillippe Adam Beach Jesse Bradford John Benjamin Hickey John Slattery,Clint Eastwood,23.9366
Drama Crime Thriller,tattoo secret passage baseball bat deal explosion,Law Abiding Citizen,Jamie Foxx Gerard Butler Colm Meaney Bruce McGill Leslie Bibb,F. Gary Gray,49.593978
Thriller Action Horror,exploitation slasher zombie killer,Grindhouse,Kurt Russell Zo\u00eb Bell Rosario Dawson Vanessa Ferlito Sydney Tamiia Poitier,Robert Rodriguez,16.637642
